Date,High,Low,Open,Close,Volume,Adj Close,SMA(10),CMA,EMA(10),EWMA,,,,"Multiplier = 2/(10 + 1)(if we are calculating EMA(10), 2/(11+1) if we calculate EMA(11)",,
8/23/2017,70.69799805,67.66000366,67.79799652,70.55400085,24772500,70.55400085,,,,,,,,,,
8/24/2017,71.33200073,69.94799805,70.5039978,70.58599854,22923500,70.58599854,,70.56999969,,,,,,,,
8/25/2017,71.13800049,69.45999908,70.84799957,69.61000061,17420000,69.61000061,,70.25,,,,,,,,
8/28/2017,69.47000122,67.94400024,69.45600128,69.13200378,18820000,69.13200378,,69.97050095,,,,,,EWMA = a * x(t) + (1-a) * EMWA(t-1),,
8/29/2017,69.80999756,67.75,67.89600372,69.47200012,20368500,69.47200012,,69.87080078,,,,,,,,
8/30/2017,70.69400024,69.40000153,69.93399811,70.63600159,17064500,70.63600159,,69.99833425,,,,,,,,
8/31/2017,71.68800354,70.56400299,70.70999908,71.18000031,20364000,71.18000031,,70.16714369,,,,,,,,
9/1/2017,71.51799774,70.73799896,71.22399902,71.08000183,15247500,71.08000183,,70.28125095,,,,,,,,
9/5/2017,71.09799957,69.1780014,70.76000214,69.91799927,19175500,69.91799927,,70.24088966,,,,,,,,
9/6/2017,70.19599915,68.31199646,69.90000153,68.90599823,20457000,68.90599823,70.10740051,70.10740051,70.10740051,,,,,,,
9/7/2017,70.4960022,68.69000244,69.19599915,70.12200165,21196000,70.12200165,70.06420059,70.10872789,70.11005526,,,,,,,
9/8/2017,69.95600128,68.45999908,69.79799652,68.68000031,16317500,68.68000031,69.87360077,69.98966726,69.85004553,,,,,,,
9/11/2017,72.74199677,70,70.26999664,72.73799896,38335500,72.73799896,70.1864006,70.20107739,70.37512745,,,,,,,
9/12/2017,73.7519989,72.08000183,72.89800262,72.55000305,29864500,72.55000305,70.52820053,70.36885779,70.77055898,,,,,,,
9/13/2017,73.61399841,71.91799927,72.76399994,73.2460022,20926000,73.2460022,70.90560074,70.56066742,71.22063911,,,,,,,
9/14/2017,75.59200287,72.52600098,72.86599731,75.52799988,36012500,75.52799988,71.39480057,70.8711257,72.00379483,,,,,,,
9/15/2017,76,74.54000092,74.90200043,75.96199799,27102500,75.96199799,71.87300034,71.17058877,72.72346741,,,,,,,
9/18/2017,77.92199707,75.53600311,76.05000305,77,35940000,77,72.46500015,71.49444495,73.50101802,,,,,,,
9/19/2017,76.47799683,74.71399689,76,75.01999664,32259500,75.01999664,72.97519989,71.68000031,73.77719567,,,,,,,
9/20/2017,75.65000153,74.21399689,74.59999847,74.78199768,24595500,74.78199768,73.56279984,71.83510017,73.95988676,,,,,,,
9/21/2017,75.36599731,72.90200043,74.98000336,73.29599762,23091000,73.29599762,73.88019943,71.90466672,73.83917977,,,,,,,
9/22/2017,73.98000336,70.1760025,73.29799652,70.21800232,40797000,70.21800232,74.03399963,71.82800016,73.18078453,,,,,,,
9/25/2017,71.4940033,68.5759964,70.62999725,68.9980011,38029500,68.9980011,73.65999985,71.70495672,72.42027921,,,,,,,
